Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20
,San Marino,43.9424,12.4578,3,7,45,93,48,19,13,9,10,10,14,8,9,15,7,3,2,3,7,11,3,6,5,73,2,4,5,32,49,22,3,7,3,2,5,66,72,24,2,69,64,72,81,19,42,96,31,8,2,4,7,14,2,16,8,0,15,4,2,8,8,12,4,0,2,6,7,99,83,52,15
,Belarus,53.7098,27.9534,78,28,22,60,14,40,30,78,53,74,82,96,47,31,4,39,7,25,7,87,87,83,61,30,19,11,6,44,21,26,22,19,56,43,46,72,84,23,31,62,68,71,62,62,13,51,31,52,69,83,26,26,2,61,27,6,14,28,34,78,95,11,55,47,15,10,6,4,4,6,17
,Iceland,64.9631,-19.0208,79,52,35,34,33,23,14,16,28,28,14,10,13,44,85,63,75,39,23,54,41,22,11,48,37,39,51,28,31,49,43,37,45,47,36,28,27,37,24,28,12,31,27,16,15,16,19,11,24,36,52,36,28,38,44,51,43,36,34,39,37,20,26,44,33,32,36,24,73,70,39
,Lithuania,55.1694,23.8813,70,12,43,42,21,52,48,61,64,77,92,90,33,34,9,65,3,13,7,90,86,95,76,17,9,47,27,54,65,51,48,80,73,53,66,56,48,54,37,80,76,80,85,28,3,74,63,23,27,92,18,21,13,77,16,52,18,63,44,99,88,70,86,50,45,13,9,11,12,20,31
,Mexico,23.6345,-102.5528,9,10,4,5,68,57,9,6,3,6,8,7,40,80,15,9,4,2,1,1,6,6,4,4,7,3,6,7,7,6,4,10,7,6,6,4,4,2,3,3,3,2,5,5,5,8,35,36,34,23,21,87,60,5,8,7,4,7,5,7,6,4,6,5,2,6,9,34,35,52,16
,New Zealand,-40.9006,174.886,15,25,28,10,16,28,28,35,37,8,8,13,13,50,32,8,6,5,9,8,9,2,12,5,10,19,73,61,35,7,36,68,82,2,5,6,8,7,68,7,16,25,74,2,3,1,6,66,37,23,5,16,7,34,38,5,16,11,11,3,7,18,90,2,2,4,4,7,5,3,8
,Nigeria,9.082,8.6753,0,1,1,2,3,5,2,6,3,4,5,3,6,7,7,3,5,3,5,5,1,3,2,1,1,1,5,8,3,4,6,6,4,4,3,2,2,3,2,4,17,8,2,1,1,1,4,4,6,15,4,4,2,7,5,0,5,3,1,2,2,2,2,0,2,3,6,3,1,3,2
Western Australia,Australia,-31.9505,115.8605,3,5,4,3,6,5,3,13,25,7,5,3,4,19,10,12,15,20,5,5,8,9,14,3,10,6,3,9,47,20,12,51,31,72,45,62,67,56,6,6,1,5,1,2,12,14,5,7,2,6,3,9,19,7,5,1,5,2,3,2,5,4,5,3,1,5,11,8,0,3,6
,Ireland,53.1424,-7.6921,52,33,25,40,90,72,81,36,43,64,56,90,47,34,13,16,78,94,99,87,74,83,83,88,94,90,78,88,98,97,96,88,98,95,86,56,39,94,91,72,52,48,28,67,59,78,86,99,92,94,21,70,15,19,33,93,78,72,87,68,96,87,86,62,36,77,35,20,4,10,23
,Luxembourg,49.8153,6.1296,2,7,5,9,24,98,91,65,65,38,96,95,99,97,12,2,7,20,81,99,93,88,93,56,6,72,89,56,89,75,47,25,95,78,93,78,83,39,87,88,91,67,48,95,91,19,68,75,98,79,12,27,69,28,16,9,37,59,99,92,5,12,37,78,33,16,75,40,24,5,6
,Monaco,43.7333,7.4167,3,8,85,59,32,18,19,8,6,7,12,8,10,10,6,2,4,5,7,10,2,4,5,6,4,6,22,14,3,6,6,9,5,4,7,5,20,1,28,61,95,32,2,93,31,2,4,36,2,9,10,10,2,11,6,5,12,5,2,13,7,8,12,11,39,18,91,65,2,3,15
,Qatar,25.3548,51.1839,3,28,7,3,6,3,2,7,3,4,9,5,3,7,5,5,6,3,9,7,6,2,5,5,3,3,5,8,3,4,10,12,10,3,3,5,2,3,1,5,4,5,1,2,2,2,5,3,4,2,5,7,2,9,30,4,8,2,65,84,18,4,4,0,6,4,5,4,0,3,5
,Ecuador,-1.8312,-78.1834,42,61,60,75,80,85,39,37,59,54,49,80,89,94,74,31,37,56,59,86,52,32,49,50,68,77,62,70,66,54,62,66,88,81,76,65,88,81,81,78,78,80,64,74,83,84,70,74,81,81,80,86,78,70,30,35,26,35,30,33,77,71,85,63,69,62,71,68,79,82,52
,Azerbaijan,40.1431,47.5769,3,3,7,4,3,5,1,5,3,5,97,37,2,9,4,3,5,54,70,17,6,4,5,19,9,6,64,9,3,20,10,13,15,8,9,5,2,2,2,13,99,11,5,4,6,2,4,8,7,6,8,37,90,87,7,1,9,4,25,12,22,9,38,0,28,93,38,9,83,46,11
,Armenia,40.0691,45.0382,3,23,40,8,14,16,1,20,26,24,49,9,6,52,53,4,54,68,57,33,12,20,43,19,7,20,42,28,19,59,31,10,36,37,51,3,1,7,41,65,51,12,5,1,0,7,9,8,0,10,20,34,55,36,18,0,19,5,27,24,12,17,41,1,3,38,21,8,33,28,14
,Dominican Republic,18.7357,-70.1627,69,16,81,74,68,88,56,49,35,22,30,33,41,78,78,52,33,28,31,37,68,73,59,49,33,67,64,66,57,51,52,22,63,89,81,31,46,33,33,34,80,94,90,43,23,22,50,99,98,99,59,45,47,19,27,20,14,45,37,57,73,60,82,90,92,93,53,23,84,86,78
,Indonesia,-0.7893,113.9213,27,60,74,83,90,82,90,92,100,90,55,81,90,83,93,76,83,74,98,94,85,25,45,74,89,97,98,69,54,85,89,61,64,95,90,96,85,97,73,86,75,95,87,99,79,82,81,88,74,12,92,93,97,50,66,49,83,64,81,93,96,97,47,81,97,95,89,95,97,90,79
,Portugal,39.3999,-8.2245,52,96,87,92,22,95,53,16,48,87,46,5,5,6,6,1,10,70,10,10,6,9,12,10,5,7,33,7,1,4,5,3,3,2,6,3,3,2,40,93,77,13,22,88,20,1,4,4,2,5,7,9,3,7,4,0,9,3,5,3,3,4,3,73,98,86,37,90,23,2,5
,Andorra,42.5063,1.5218,88,87,11,67,72,23,21,5,28,28,19,9,5,14,2,0,2,2,8,10,6,18,13,5,3,5,8,10,3,4,2,1,0,0,6,17,35,15,22,55,79,73,69,68,43,34,3,24,21,1,5,4,2,9,2,0,6,4,2,56,3,4,2,0,1,6,53,4,11,9,35
Tasmania,Australia,-41.4545,145.9707,75,95,65,47,56,12,32,19,6,27,74,81,66,6,5,9,31,17,7,46,78,40,25,53,53,6,3,75,82,3,18,6,10,4,16,82,48,27,8,74,82,11,30,93,5,17,15,7,2,5,10,15,0,10,7,2,10,5,7,81,26,12,6,6,38,55,7,20,24,79,40
