Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20
Unassigned Location (From Diamond Princess),US,35.4437,139.638,60,60,65,66,68,74,85,85,85,85,74,64,64,64,64,62,62,59,54,54,48,48,48,54,54,56,56,54,48,56,56,56,41,41,56,59,56,45,45,45,45,45,56,63,56,63,63
,Oman,21.0,57.0,11,12,12,12,12,6,6,5,5,5,5,5,6,12,13,16,16,22,22,22,23,32,33,33,33,33,33,35,33,35,35,33,35,35,35,32,22,20,20,20,20,20,14,6,0,0,0
,Afghanistan,33.0,65.0,46,69,76,73,69,46,42,38,38,38,38,38,38,17,17,12,12,9,9,12,12,17,24,24,24,24,26,26,26,24,26,26,28,26,26,26,26,28,28,28,28,31,31,32,32,31,32
,Bahrain,26.0275,50.55,16,16,10,8,10,10,7,10,10,10,16,16,6,6,6,6,6,4,20,24,24,24,20,9,9,9,9,24,24,30,24,9,30,30,30,47,47,47,47,47,47,15,8,3,2,0,0
,Kuwait,29.5,47.75,24,24,24,24,22,22,22,22,22,22,22,5,5,5,5,5,3,5,5,10,10,9,5,5,9,9,10,20,24,25,24,24,42,42,44,44,44,44,44,42,15,4,0,0,0,0,0
,Algeria,28.0339,1.6596,5,5,10,13,13,13,13,13,10,7,5,5,5,1,0,0,0,0,0,0,0,0,1,13,13,22,22,22,22,32,32,32,21,21,21,13,13,8,8,8,8,8,8,5,5,5,5
,Croatia,45.1,15.2,52,49,49,54,56,61,76,76,76,76,56,56,56,56,59,59,59,59,56,56,56,56,56,56,56,55,55,55,54,50,50,50,54,55,55,55,55,54,54,64,65,65,65,65,68,70,70
,Switzerland,46.8182,8.2275,41,41,34,34,34,34,41,41,67,68,68,68,68,82,82,82,82,82,82,89,90,90,90,82,80,89,89,81,81,81,86,86,89,89,86,86,86,81,86,86,82,82,83,83,84,84,84
,Austria,47.5162,14.5501,56,56,54,56,56,57,57,65,66,72,72,72,72,83,88,88,88,88,83,74,83,74,76,83,83,89,89,76,76,74,74,74,75,76,76,76,76,81,77,77,77,77,81,77,81,82,82
,Israel,31.0,35.0,53,53,53,53,53,53,53,43,43,42,42,37,24,22,22,20,17,17,17,20,20,17,17,20,20,14,13,13,14,33,33,33,13,13,13,13,28,28,20,28,28,28,20,17,17,17,17
,Pakistan,30.3753,69.3451,31,31,31,26,24,24,22,22,14,14,13,13,13,13,12,7,3,0,0,0,0,0,3,3,3,7,7,13,13,13,27,27,27,27,13,13,13,13,13,13,8,8,8,8,20,8,12
,Brazil,-14.235,-51.9253,77,77,77,77,79,79,91,91,91,92,92,92,92,92,92,92,91,91,91,90,89,87,87,89,80,79,79,79,79,80,89,90,89,89,89,89,89,89,87,89,89,89,89,89,87,87,87
,Georgia,42.3154,43.3569,70,70,70,53,48,43,43,48,53,70,76,78,88,89,89,89,89,89,89,89,89,89,89,90,89,89,89,79,70,70,77,77,77,77,78,78,77,77,77,77,77,77,77,77,77,78,77
,Greece,39.0742,21.8243,28,28,28,42,48,48,48,48,48,48,48,49,49,49,49,52,52,52,52,49,49,49,49,54,60,66,66,66,67,67,67,67,67,67,67,67,66,66,49,45,45,46,49,49,49,46,46
,North Macedonia,41.6086,21.7453,36,36,36,36,36,36,36,36,36,38,38,28,28,38,49,50,50,50,50,49,38,38,37,37,33,33,33,31,31,31,31,33,37,37,38,40,38,40,38,40,42,43,43,43,43,60,63
,Norway,60.472,8.4689,56,56,56,56,56,67,69,74,74,82,74,69,69,63,63,63,52,60,60,60,55,52,50,52,52,55,55,52,48,55,55,60,55,48,48,48,61,61,75,75,75,93,96,96,96,96,96
,Romania,45.9432,24.9668,46,54,46,46,49,51,56,60,66,72,79,79,80,80,80,80,84,84,84,84,84,80,76,76,76,59,59,59,59,59,59,59,74,74,74,74,81,81,75,74,74,75,75,75,74,74,74
,Denmark,56.2639,9.5018,81,90,90,90,92,92,92,92,92,92,92,92,92,92,90,90,90,89,86,86,86,86,86,86,86,86,86,86,86,86,86,90,90,90,90,90,86,86,91,81,81,81,81,78,78,78,78
,Estonia,58.5953,25.0136,76,73,76,73,76,76,84,84,84,84,88,91,91,91,91,91,91,91,96,98,96,93,92,91,85,85,85,92,93,93,93,93,93,92,89,89,89,92,92,92,89,89,89,89,89,90,90
,Netherlands,52.1326,5.2913,76,76,75,73,67,67,67,67,67,77,77,83,90,90,90,83,83,88,88,94,88,88,88,85,85,85,79,74,79,85,85,85,85,85,85,85,85,85,88,88,85,85,85,88,88,88,88
,San Marino,43.9424,12.4578,54,54,54,61,63,63,67,67,67,67,81,81,81,67,61,61,61,61,57,57,61,56,49,49,46,36,36,36,36,36,36,39,49,39,39,39,45,39,45,59,61,59,59,56,56,59,59
,Belarus,53.7098,27.9534,90,90,91,90,87,90,90,90,90,90,90,91,91,91,91,90,90,90,90,90,90,90,90,90,90,89,89,90,79,79,79,81,81,81,81,81,81,79,74,79,81,81,81,82,82,83,84
" Montreal, QC",Canada,45.5017,-73.5673,80,80,80,80,80,80,80,80,74,73,70,70,70,70,70,70,70,70,70,66,66,66,49,66,66,66,54,50,50,50,50,44,38,38,38,38,38,38,38,47,38,38,47,47,47,56,56
,Iceland,64.9631,-19.0208,85,85,88,90,90,90,90,88,88,91,91,91,88,88,89,84,84,80,79,79,80,80,80,80,76,80,83,85,85,85,86,85,85,86,86,86,89,89,86,89,89,86,86,84,84,84,77
,Lithuania,55.1694,23.8813,88,88,93,88,83,83,83,83,83,88,93,93,93,94,91,91,91,88,88,91,91,92,91,88,81,81,78,78,78,78,80,81,80,80,80,78,78,80,80,86,86,86,86,86,86,90,90
,Mexico,23.6345,-102.5528,56,56,56,55,55,56,56,55,45,45,45,45,45,45,46,46,46,46,46,46,46,51,59,59,51,51,46,46,41,18,18,18,45,45,18,18,18,15,15,13,13,13,13,13,18,33,33
,New Zealand,-40.9006,174.886,39,39,39,39,39,39,39,53,68,68,68,68,68,68,68,68,67,66,64,64,56,51,51,51,51,56,56,56,56,61,70,77,77,77,77,77,77,70,68,61,68,68,68,56,51,51,51
,Nigeria,9.082,8.6753,12,13,17,17,26,13,17,26,27,28,28,27,27,28,28,28,28,28,28,19,22,28,28,22,19,22,28,28,28,28,25,25,25,25,28,32,32,33,37,40,42,42,42,39,39,42,42
Western Australia,Australia,-31.9505,115.8605,6,8,6,11,13,14,14,13,14,14,14,13,13,17,17,17,18,19,18,17,17,19,19,19,19,22,22,25,25,31,34,34,37,56,56,56,56,56,56,46,49,49,49,49,49,49,46
,Ireland,53.1424,-7.6921,65,68,65,76,76,76,76,62,76,76,76,79,79,79,76,76,76,73,73,73,73,73,74,73,73,71,70,70,71,71,71,71,74,74,74,74,74,74,74,73,73,73,74,73,73,73,69
,Luxembourg,49.8153,6.1296,78,70,65,62,60,60,60,60,60,70,70,70,78,82,82,82,82,90,90,90,89,86,86,86,86,86,86,86,83,86,86,86,86,86,86,86,87,87,88,88,88,88,88,89,89,89,89
,Monaco,43.7333,7.4167,70,70,71,72,73,73,77,77,74,74,74,74,74,70,66,66,66,66,61,61,44,44,44,36,36,44,44,36,36,36,36,36,34,30,30,30,30,30,34,36,36,36,41,43,43,41,41
,Qatar,25.3548,51.1839,16,16,16,8,8,8,8,16,8,6,16,16,6,5,6,6,6,5,6,6,17,17,6,6,6,6,6,17,24,26,26,24,24,24,24,24,24,24,24,24,19,8,8,5,4,1,0
