Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
"King County, WA",US,47.6062,-122.3321,10,11,6,12,8,8,10,11,7,4,6,7,7,1,0,3,7,5,9,10,11,9,8,11,11,10,11,10,10,9,8,13,11,6,5,3,9,9,11,8,8,9,8,9,7,9,7,8,8,8,12,13,12,8,9,9,10,11,14,10,9,9,9,11,11,12,6,7,8,10
"Cook County, IL",US,41.7377,-87.6976,-1,5,9,4,1,5,5,5,-4,9,8,1,0,1,5,3,-3,-1,2,-6,0,-1,1,1,3,2,1,2,0,1,2,3,2,11,6,2,0,-1,2,2,2,1,1,2,-4,-9,0,3,4,3,-1,-4,2,9,12,5,3,0,0,-1,1,11,10,10,8,12,4,10,17,14
,Singapore,1.2833,103.8333,31,30,31,30,31,31,29,31,31,31,30,31,31,32,31,31,32,31,31,31,29,31,31,32,32,31,31,31,29,31,31,31,30,31,31,31,32,31,31,29,30,30,31,32,32,31,31,32,30,31,31,31,30,31,30,31,32,32,32,33,33,32,32,32,30,31,31,31,32,32
,France,47,2,8,9,11,8,8,9,9,12,11,8,9,8,12,12,14,16,11,9,7,7,7,7,6,13,12,11,9,8,10,12,14,13,14,15,9,9,10,13,14,14,13,9,11,12,12,15,19,10,11,12,12,11,13,14,14,11,8,12,12,13,10,9,7,9,12,9,10,12,11,12
,Nepal,28.1667,84.25,20,22,14,17,17,19,19,19,19,19,20,21,22,24,24,19,14,21,20,20,19,21,20,19,19,16,18,22,23,21,21,19,19,20,21,21,20,21,19,20,22,22,23,25,22,23,22,23,24,22,24,19,25,25,25,21,19,23,24,25,26,25,25,25,25,23,19,24,26,27
,Malaysia,2.5,112.5,28,28,28,27,29,29,28,29,29,26,27,26,28,27,29,28,26,29,29,29,29,29,28,28,30,28,28,31,27,28,29,30,29,26,26,25,28,30,30,27,27,29,31,29,27,28,29,24,27,27,29,29,28,29,27,29,27,28,26,28,27,30,27,29,25,27,29,31,29,29
British Columbia,Canada,49.2827,-123.1207,8,10,6,11,7,7,5,9,5,4,4,6,4,-2,-3,-1,3,3,5,7,8,8,7,9,10,9,10,8,9,9,8,11,9,5,4,1,5,6,7,8,6,7,8,8,7,9,7,7,7,7,8,9,10,7,8,7,6,8,9,8,9,7,6,8,9,8,8,7,7,8
"Los Angeles, CA",US,34.0522,-118.2437,22,21,20,24,21,22,25,24,18,16,19,17,17,17,18,18,16,17,22,24,18,17,18,24,23,22,16,23,25,24,24,28,29,21,17,17,17,18,20,21,15,23,23,20,22,20,21,21,22,22,20,27,25,18,19,21,28,27,30,30,23,16,23,27,23,25,22,17,19,23
New South Wales,Australia,-33.8688,151.2093,24,25,28,37,24,24,28,26,25,29,22,21,25,26,27,28,22,22,24,28,29,29,38,27,28,32,28,29,26,28,30,35,29,31,22,25,24,21,22,22,26,28,25,25,25,26,25,24,29,27,22,24,23,25,26,28,32,24,24,25,28,34,23,25,25,26,23,22,22,23
Victoria,Australia,-37.8136,144.9631,25,26,32,27,17,20,23,25,31,33,18,21,31,32,34,19,25,29,28,21,23,31,21,23,27,24,23,25,29,38,41,31,23,17,21,21,27,26,29,27,25,26,27,30,31,21,25,27,21,18,18,20,23,30,26,30,18,21,21,24,31,18,21,25,20,18,21,21,21,23
